city,timestamp,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather_condition,weather_description,clouds,visibility,data_type,temperature_max,temperature_min,precipitation
Mumbai,2025-03-09 15:35:40,28.46,30.28,61.0,1007.0,7.69,304.0,Clear,clear sky,0.0,10.0,current,,,
Mumbai,2025-02-07,27.4,29.1,4.74,,10.9,334.0,,,,,historical,34.5,22.4,0.0
Mumbai,2025-02-08,27.4,29.3,4.86,,12.6,337.0,,,,,historical,33.4,22.1,0.0
Mumbai,2025-02-09,27.7,28.5,5.45,,14.2,334.0,,,,,historical,33.2,22.8,0.0
Mumbai,2025-02-10,27.6,27.7,5.8,,15.0,334.0,,,,,historical,33.7,23.4,0.0
Mumbai,2025-02-11,26.4,26.4,5.56,,15.9,337.0,,,,,historical,32.5,21.9,0.0
Mumbai,2025-02-12,26.2,26.3,5.73,,15.4,344.0,,,,,historical,33.4,20.6,0.0
Mumbai,2025-02-13,27.6,27.1,6.35,,15.7,349.0,,,,,historical,35.0,21.6,0.0
Mumbai,2025-02-14,28.6,27.6,6.9,,18.8,350.0,,,,,historical,34.8,22.7,0.0
Mumbai,2025-02-15,28.8,27.7,6.61,,17.5,346.0,,,,,historical,35.3,22.2,0.0
Mumbai,2025-02-16,27.7,26.7,6.21,,16.0,337.0,,,,,historical,35.3,21.8,0.0
Mumbai,2025-02-17,27.2,27.2,5.91,,17.3,340.0,,,,,historical,34.4,21.0,0.0
Mumbai,2025-02-18,28.4,27.9,6.53,,18.5,344.0,,,,,historical,34.9,23.6,0.0
Mumbai,2025-02-19,28.2,27.6,6.41,,17.8,338.0,,,,,historical,33.6,23.4,0.0
Mumbai,2025-02-20,28.5,27.8,6.86,,18.5,345.0,,,,,historical,34.8,22.4,0.0
Mumbai,2025-02-21,30.2,29.0,7.44,,16.9,3.0,,,,,historical,36.8,24.8,0.0
Mumbai,2025-02-22,29.4,28.8,6.71,,17.7,345.0,,,,,historical,35.1,24.6,0.0
Mumbai,2025-02-23,29.7,29.2,6.76,,15.4,348.0,,,,,historical,35.9,23.8,0.0
Mumbai,2025-02-24,29.9,29.2,6.84,,14.4,354.0,,,,,historical,37.0,24.4,0.0
Mumbai,2025-02-25,29.9,29.7,6.19,,14.6,355.0,,,,,historical,37.6,24.9,0.0
Mumbai,2025-02-26,29.1,30.5,5.49,,14.8,312.0,,,,,historical,37.4,23.1,0.0
Mumbai,2025-02-27,29.4,30.5,5.68,,15.0,306.0,,,,,historical,35.9,24.1,0.0
Mumbai,2025-02-28,29.0,30.7,5.8,,14.9,329.0,,,,,historical,33.6,24.3,0.0
Mumbai,2025-03-01,29.2,29.6,6.6,,16.1,335.0,,,,,historical,33.8,24.7,0.0
Mumbai,2025-03-02,29.5,29.0,7.13,,17.1,337.0,,,,,historical,36.4,24.8,0.0
Mumbai,2025-03-03,29.6,29.4,7.03,,17.7,346.0,,,,,historical,36.3,24.5,0.0
Mumbai,2025-03-04,29.6,29.2,7.22,,19.0,346.0,,,,,historical,35.9,25.0,0.0
